浙江卫视,rtp://233.50.201.100:5140
浙江钱江频道,rtp://233.50.201.132:5140
浙江经济生活,rtp://233.50.201.133:5140
浙江教育频道,rtp://233.50.201.134:5140
浙江民生休闲,rtp://233.50.201.136:5140
浙江新闻频道,rtp://233.50.201.137:5140
浙江少儿频道,rtp://233.50.201.138:5140
浙江之江纪录,rtp://233.50.202.25:5140
凤凰中文,rtp://233.50.200.191:5140
凤凰资讯,rtp://233.50.200.192:5140
CCTV-1综合,rtp://233.50.200.130:5140
CCTV-2财经,rtp://233.50.200.25:5140
CCTV-3综艺,rtp://233.50.201.196:5140
CCTV-4中文国际,rtp://233.50.200.101:5140
CCTV-5体育,rtp://233.50.201.197:5140
CCTV-6电影,rtp://233.50.201.198:5140
CCTV-7国防军事,rtp://233.50.200.24:5140
CCTV-8电视剧,rtp://233.50.201.199:5140
CCTV-9纪录,rtp://233.50.201.121:5140
CCTV-10科教,rtp://233.50.201.122:5140
CCTV-12社会与法,rtp://233.50.201.123:5140
CCTV-13新闻,rtp://233.50.201.246:5140
CCTV-14少儿,rtp://233.50.201.124:5140
CCTV-16奥林匹克,rtp://233.50.201.192:5140
CCTV-16奥林匹克4K,rtp://233.50.201.63:5140
CCTV-17农业农村,rtp://233.50.200.113:5140
CCTV-5+体育赛事,rtp://233.50.201.220:5140
湖南卫视,rtp://233.50.201.103:5140
江苏卫视,rtp://233.50.201.106:5140
东方卫视,rtp://233.50.201.125:5140
湖北卫视,rtp://233.50.201.114:5140
广东卫视,rtp://233.50.201.102:5140
北京卫视,rtp://233.50.201.107:5140
深圳卫视,rtp://233.50.201.101:5140
天津卫视,rtp://233.50.201.104:5140
河北卫视,rtp://233.50.201.140:5140
安徽卫视,rtp://233.50.201.113:5140
重庆卫视,rtp://233.50.200.114:5140
云南卫视,rtp://233.50.200.115:5140
四川卫视,rtp://233.50.201.139:5140
江西卫视,rtp://233.50.201.145:5140
黑龙江卫视,rtp://233.50.201.115:5140
山东卫视,rtp://233.50.201.105:5140
辽宁卫视,rtp://233.50.201.141:5140
贵州卫视,rtp://233.50.201.142:5140
河南卫视,rtp://233.50.201.144:5140
东南卫视,rtp://233.50.201.146:5140
CETV-4,rtp://233.50.200.162:5140
杭州综合,rtp://233.50.201.173:5140
杭州明珠,rtp://233.50.201.174:5140
杭州生活,rtp://233.50.201.175:5140
杭州影视,rtp://233.50.201.176:5140
杭州青少,rtp://233.50.201.177:5140
杭州导视,rtp://233.50.201.182:5140
宁波新闻综合,rtp://233.50.201.168:5140
宁波生活频道,rtp://233.50.201.178:5140
宁波文体频道,rtp://233.50.201.179:5140
宁波影视频道,rtp://233.50.201.180:5140
温州新闻综合,rtp://233.50.201.87:5140
绍兴新闻综合,rtp://233.50.201.156:5140
衢州新闻综合,rtp://233.50.202.11:5140
衢州公共频道,rtp://233.50.202.12:5140
温州新闻综合,rtp://233.50.201.87:5140
绍兴新闻综合,rtp://233.50.201.156:5140
上海都市剧场,rtp://233.50.201.190:5140
上海欢笑剧场,rtp://233.50.201.189:5140
上海动漫秀场,rtp://233.50.201.184:5140
上海游戏风云,rtp://233.50.201.183:5140
上海生活时尚,rtp://233.50.201.187:5140
上海法治天地,rtp://233.50.201.191:5140
上海第一财经,rtp://233.50.200.125:5140
上海乐游纪实,rtp://233.50.201.185:5140
上海金色学堂,rtp://233.50.201.186:5140
湖南快乐垂钓,rtp://233.50.201.109:5140
湖南茶频道,rtp://233.50.201.188:5140
晴彩竞技,rtp://233.50.202.26:5140
晴彩篮球,rtp://233.50.202.27:5140
晴彩羽毛球,rtp://233.50.202.28:5140
晴彩广场舞,rtp://233.50.202.29:5140
轮播频道1,rtp://233.50.201.116:5140
轮播频道2,rtp://233.50.201.117:5140
中国蓝直播,rtp://233.50.201.108:5140
湖州新闻,rtp://233.50.201.158:5140
金华新闻,rtp://233.50.201.161:5140
丽水新闻,rtp://233.50.201.162:5140
嘉兴新闻,rtp://233.50.201.163:5140
桐乡新闻,rtp://233.50.201.169:5140
CCTV-4K超高清,rtp://233.50.201.226:5140
CCTV-16奥林匹克4K,rtp://233.50.201.63:5140
北京卫视4K,rtp://233.50.202.100:5140
东方卫视4K,rtp://233.50.202.105:5140
广东卫视4K,rtp://233.50.202.101:5140
深圳卫视4K,rtp://233.50.202.102:5140
湖南卫视4K,rtp://233.50.202.106:5140
山东卫视4K,rtp://233.50.202.108:5140
四川卫视4K,rtp://233.50.202.109:5140
浙江卫视4K,rtp://233.50.202.104:5140
江苏卫视4K,rtp://233.50.202.107:5140
欢笑剧场4K,rtp://233.50.200.52:5140
百事通电影4K,rtp://233.50.200.185:5140
百事通4K-1,rtp://233.50.200.182:5140
百事通4k-2,rtp://233.50.200.183:5140
